Pair,alpha,beta,dist,mask
1,168,175,4.67,pairs
BUZSAR,132,95,5.19,control
CEDNEG,135,152,5.42,control
CEDVOX,99,111,4.99,control
CEFPEL,66,61,4.64,control
CESBEI,122,108,5.03,control
CIMCOS,112,121,4.62,control
CIRMAT,112,157,4.68,control
CIXCIY,120,165,3.8,control
DOKRUR,51,39,4.84,control
DOKSOM,136,131,5.35,control
DUMWEO,134,126,5.42,control
DUSRIT,134,141,5.08,control
EHAHIH,147,148,5.19,control
EHAHIH01,31,57,4.15,control
FAKBIC,156,115,4.85,control
GEJCEE,106,166,4.22,control
IDODIQ02,90,99,4.8,control
NOQWOI,66,34,4.74,control
NOWUO,58,57,4.48,control
POXJAQ,114,124,4.96,control
